class,column_name,CPA label,CTA label,table_number,fallback_CTA_label
Product,name,NONE,Product/name,810710,
Product,offers,offers,Offer,782333,
Product,offers:pricecurrency,priceCurrency,currency,763066,
Product,offers:price,price,price,716385,
Product,offers:availability,availability,ItemAvailability,432124,
Product,offers:pricevaliduntil,priceValidUntil,Date,170373,
Product,offers:itemcondition,itemCondition,OfferItemCondition,89272,
Product,offers:description,description,Text,41858,
Product,offers:sku,sku,IdentifierAT,39248,
Product,offers:category,category,category,8042,
Product,offers:mpn,mpn,IdentifierAT,3719,
Product,offers:validfrom,validFrom,"Date, DateTime",2042,DateTime
Product,offers:inventorylevel,inventoryLevel,QuantitativeValue,1979,
Product,offers:serialnumber,serialNumber,IdentifierAT,1611,
Product,offers:gtin,gtin,IdentifierAT,1421,
Product,offers:availabledeliverymethod,availableDeliveryMethod,DeliveryMethod,1283,
Product,offers:gtin13,gtin13,IdentifierAT,894,
Product,offers:warranty,warranty,WarrantyPromise,756,
Product,offers:acceptedpaymentmethod,acceptedPaymentmethod,"LoanOrCredit, PaymentMethod",463,paymentAccepted
Product,offers:validthrough,validThrough,"Date, DateTime",217,DateTime
Product,offers:availabilitystarts,availabilityStarts,"Date, DateTime, Time",188,DateTime
Product,offers:deliveryleadtime,deliveryLeadTime,QuantitativeValue,150,
Product,offers:gtin14,gtin14,IdentifierAT,144,
Product,offers:eligiblequantity,eligibleQuantity,QuantitativeValue,134,
Product,offers:eligibleregion,eligibleRegion,"GeoShape, Place",134,Place
Product,offers:pricespecification,priceSpecification,PriceSpecification,108,
Product,offers:identifier,identifier,IdentifierAT,104,
Product,offers:availabilityends,availabilityEnds,"Date, DateTime, Time",79,DateTime
Product,offers:gtin8,gtin8,IdentifierAT,56,
Product,description,description,Text,"654,381",
Product,sku,sku,IdentifierAT,"387,608",
Product,url,url,URL,"326,694",
Product,brand,brand,Brand,"305,990",
Product,brand:name,brand,Brand,"191,087",
Product,image,image,URL,"305,990",
Product,aggregaterating,aggregateRating,AggregateRating,"72,193",
Product,aggregaterating:ratingvalue,ratingValue,"Number, Text","70,477",Number
Product,aggregaterating:reviewcount,reviewCount,Integer,"55,640",
Product,aggregaterating:bestrating,bestRating,"Number, Text","25,440",Number
